Vornamen Neugeborene Wien nach Geschlecht und Aussprache seit 2010 / First names of newborns in Vienna since 2010, aggregation by sex and pronunciation
"NUTS";"DISTRICT_CODE";"SUB_DISTRICT_CODE";"REF_YEAR";"REF_DATE";"SEX";"RANK";"NAME";"NAME_ALL";"N";"PERC_SEX"
"AT13";"90000";"90000";"2010";"2010";"1";"139";"Andre";"Andre";"12";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"139";"Emirhan";"Emirhan";"12";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"139";"Georg";"Georg";"12";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"139";"Malik";"Malik";"12";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"139";"Mateja";"Mateja";"12";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"139";"Mikail";"Mikail";"12";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"139";"Milan";"Milan";"12";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"139";"Samir";"Samir";"12";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"139";"Yannick";"Jannik";"12";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"149";"Amar";"Amar";"11";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"149";"Amir";"Amir";"11";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"149";"Diego";"Diego";"11";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"149";"Joel";"Joel";"11";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"149";"Mirac";"Mirac";"11";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"149";"Robert";"Robert";"11";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"155";"Amin";"Amin";"10";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"155";"Henry";"Henry";"10";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"155";"Ivan";"Ivan";"10";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"155";"Jannis";"Jannis";"10";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"155";"Leandro";"Leandro";"10";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"155";"Liam";"Liam";"10";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"155";"Matej";"Matej";"10";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"155";"Milos";"Miloš";"10";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"155";"Noel";"Noel";"10";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"155";"Talha";"Talha";"10";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"155";"Valentino";"Valentino";"10";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"155";"Yunus";"Yunus";"10";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"167";"Adem";"Adem";"9";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"167";"Burak";"Burak";"9";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"167";"Carlo";"Karlo";"9";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"167";"Dorian";"Dorian";"9";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"167";"Emilio";"Emilio";"9";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"167";"Emin";"Emin";"9";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"167";"Gregor";"Gregor";"9";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"167";"Jason";"Jason";"9";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"167";"Joshua";"Joshua";"9";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"167";"Jovan";"Jovan";"9";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"167";"Kenan";"Kenan";"9";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"167";"Kerim";"Kerim";"9";"0,1"
