319,FLORENTINO,7308,"66,9"
320,"PEDRO JESUS",7288,"44,4"
321,ABDELLAH,7243,"41,2"
322,MANEL,7195,"34,2"
323,NESTOR,7156,"32,6"
324,"PEDRO MARIA",7153,"60,2"
325,MARKEL,7100,"12,8"
326,FABIO,7099,"23,1"
327,PAULINO,7012,"64,5"
328,CONSTANTINO,6993,"61,6"
329,ROBERT,6982,"39,4"
330,HICHAM,6972,"34,7"
331,"FRANCESC XAVIER",6944,"50,5"
332,"JUAN ANGEL",6915,"50,3"
333,"ANGEL MANUEL",6911,"46,2"
334,ELADIO,6857,64
335,AVELINO,6798,"65,8"
336,CELESTINO,6758,"65,3"
337,OIER,6756,"15,1"
338,IMANOL,6723,"32,5"
339,MARCELO,6631,"44,9"
340,BRAIS,6570,"16,7"
341,SATURNINO,6495,"68,4"
342,ABDELKADER,6431,"47,9"
343,RICARD,6420,"39,9"
344,VASILE,6394,"47,5"
345,GHEORGHE,6377,50
346,RUFINO,6329,"66,7"
347,ANDONI,6324,"33,2"
348,GASPAR,6301,"57,4"
349,BRAHIM,6290,"38,7"
350,"LUIS ENRIQUE",6264,44
351,IBRAHIM,6242,"20,9"
352,BERNAT,6198,"24,5"
353,"JUAN ALBERTO",6183,"44,1"
354,JOSU,6144,"34,8"
355,ANAS,6107,"11,8"
356,NOEL,6107,"20,5"
357,"FERNANDO JOSE",6105,45
358,DIDAC,6040,"19,2"
359,"JESUS ANTONIO",6028,"52,1"
360,"ROBERTO CARLOS",5987,"38,6"
361,YASSINE,5973,"23,8"
362,CLEMENTE,5943,"61,5"
363,BASILIO,5851,"61,3"
364,MARCEL,5843,"30,5"
365,"ANGEL MARIA",5803,"56,6"
366,JOSEBA,5783,"37,4"
367,RAIMUNDO,5777,"61,1"
368,"JUAN DAVID",5768,"26,6"
369,ANTON,5753,"24,3"
370,ABDELAZIZ,5665,"44,7"
371,IOAN,5598,"49,4"
372,FELICIANO,5586,"66,3"
373,"PEDRO PABLO",5559,"49,1"
374,HILARIO,5549,"64,5"
