396,"MARIA VICENTA",6083,"60,4"
397,"MARIA CINTA",6058,60
398,ROSANA,6030,"39,3"
399,"MARIA BEATRIZ",6015,49
400,"MARIA ANGELA",5999,61
401,ANAIS,5990,"17,7"
402,"CARMEN ROSA",5974,"56,1"
403,GENOVEVA,5964,"62,4"
404,DELFINA,5939,"69,4"
405,"MARIA NATIVIDAD",5938,"63,2"
406,MAIALEN,5928,"19,7"
407,ANGELINA,5922,"59,7"
408,IZASKUN,5895,"41,9"
409,SABINA,5867,"51,6"
410,DEBORA,5863,"32,8"
411,RACHIDA,5859,"44,5"
412,"MARIA FATIMA",5827,"50,7"
413,KARIMA,5819,"37,4"
414,ANTIA,5810,"16,6"
415,SEBASTIANA,5786,"68,9"
416,UXUE,5738,"14,5"
417,"MARIA ARACELI",5695,"54,8"
418,GALA,5673,"9,7"
419,DOLORS,5658,"70,2"
420,NAROA,5655,"15,5"
421,GEORGINA,5649,"37,1"
422,LAILA,5626,"28,1"
423,"MARIA ANGUSTIAS",5570,"59,3"
424,ALFONSA,5504,"69,6"
425,REYES,5486,"47,6"
426,CAMILA,5480,"29,4"
427,"TERESA JESUS",5443,"57,6"
428,NICOLE,5437,"18,6"
429,PATROCINIO,5417,72
430,DAVINIA,5399,31
431,AUREA,5396,"66,9"
432,HANANE,5389,"34,7"
433,"SONIA MARIA",5376,"44,3"
434,FELIPA,5355,"74,3"
435,ISABELLA,5348,"10,9"
436,JUSTA,5319,"73,3"
437,ISIDORA,5188,71
438,ANASTASIA,5186,47
439,SAIDA,5172,"40,5"
440,DESAMPARADOS,5171,"66,4"
441,BOUCHRA,5157,36
442,LORENZA,5156,"70,6"
443,PALMIRA,5156,"68,5"
444,GRACIA,5142,61
445,"MARIA PIEDAD",5120,"60,2"
446,MIHAELA,5115,"40,4"
447,"OLGA MARIA",5115,48
448,OBDULIA,5062,"70,8"
449,SARAI,5060,28
450,MARIBEL,5043,"48,4"
451,"MARIA NURIA",5041,"55,1"
452,"MARIA JUANA",5036,"66,6"
453,ERICA,5034,29
454,JESUSA,5031,"75,6"
455,URSULA,5015,"46,2"
456,"MARIA AZUCENA",4995,56
457,"JOSEFA MARIA",4980,"58,9"
458,UXIA,4960,"14,3"
459,EIDER,4931,"21,7"
460,MYRIAM,4924,"36,3"
461,SAMARA,4923,"16,2"
462,EVANGELINA,4906,"65,6"
463,JULIETA,4905,"15,8"
464,"LUZ MARINA",4879,"51,5"
465,BRIGIDA,4877,"66,3"
466,"MARIA RAQUEL",4843,"52,6"
467,FRANCESCA,4828,"51,1"
468,"MARIA LAURA",4820,"45,9"
469,MINERVA,4818,"27,3"
470,"CRISTINA MARIA",4814,38
471,AMIRA,4768,7
472,JACINTA,4685,"70,9"
473,BIENVENIDA,4679,"67,8"
474,"GLORIA MARIA",4670,"47,6"
475,HAJAR,4626,"18,6"
476,LATIFA,4625,"43,2"
477,DIONISIA,4595,"73,5"
478,MARCELA,4575,"49,5"
479,ANGUSTIAS,4574,"69,8"
480,"MARIA ELVIRA",4560,"57,8"
481,MELANIA,4541,31
482,MODESTA,4524,"72,5"
483,SOUAD,4505,"38,6"
484,"MARIA EVA",4497,"53,7"
485,COVADONGA,4483,"40,8"
486,"MARIA CONSOLACION",4452,"62,8"
487,"SILVIA MARIA",4438,"41,9"
488,NAYRA,4434,"16,6"
489,MIREN,4427,"35,8"
490,GERTRUDIS,4424,"67,6"
491,OTILIA,4415,"70,7"
492,RUFINA,4408,"73,2"
493,MARWA,4407,"8,7"
494,"SANDRA MARIA",4395,"39,7"
495,"SARA MARIA",4390,"33,8"
496,"MARIA ALMUDENA",4386,"48,8"
497,OLATZ,4382,"31,8"
498,CLOTILDE,4373,"70,8"
499,CINTIA,4366,"26,6"
500,AMAL,4360,26
501,HAIZEA,4348,"14,7"
502,MAITANE,4337,"26,9"
503,"MARIA ALICIA",4337,"58,3"
504,SOCORRO,4326,71
505,"MARIA PRADO",4308,"55,2"
506,DOMINGA,4289,"69,9"
507,SARAH,4269,"21,3"
508,"JULIA MARIA",4267,"47,2"
509,"VICTORIA EUGENIA",4240,"44,9"
510,"GEMA MARIA",4234,"39,1"
511,EMILIANA,4233,"71,8"
