"Baby boys' first names, Slovenia, annually",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIRST NAME,Number 1992,Number 1993,Number 1994,Number 1995,Number 1996,Number 1997,Number 1998,Number 1999,Number 2000,Number 2001,Number 2002,Number 2003,Number 2004,Number 2005,Number 2006,Number 2007,Number 2008,Number 2009,Number 2010,Number 2011,Number 2012,Number 2013,Number 2014,Number 2015,Number 2016,Number 2017,Number 2018,Number 2019,Rank 1992,Rank 1993,Rank 1994,Rank 1995,Rank 1996,Rank 1997,Rank 1998,Rank 1999,Rank 2000,Rank 2001,Rank 2002,Rank 2003,Rank 2004,Rank 2005,Rank 2006,Rank 2007,Rank 2008,Rank 2009,Rank 2010,Rank 2011,Rank 2012,Rank 2013,Rank 2014,Rank 2015,Rank 2016,Rank 2017,Rank 2018,Rank 2019
Antonio,-,-,-,-,-,-,-,10,-,-,6,-,5,9,-,-,-,-,-,-,-,-,5,7,-,6,5,5,-,-,-,-,-,-,-,113,-,-,164,-,180,142,-,-,-,-,-,-,-,-,235,193,-,219,238,238
Anuar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,13,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,233,231,136,-,238
An�e,149,134,136,135,161,168,151,151,119,142,131,138,140,136,148,191,176,183,170,189,191,162,197,164,135,122,113,105,21,26,21,20,17,14,16,19,23,15,17,14,15,15,15,7,11,11,13,9,11,11,7,10,15,18,16,18
An�ej,-,-,6,-,-,-,-,-,-,-,-,-,8,18,8,8,-,7,-,-,-,-,-,-,-,-,-,-,-,-,146,-,-,-,-,-,-,-,-,-,135,91,159,157,-,189,-,-,-,-,-,-,-,-,-,-
Arian,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,-,9,-,5,10,5,9,10,9,10,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,157,-,165,-,223,162,226,177,151,163,156,117,-
Arijan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,231,-,238,-
Armin,14,10,13,17,13,-,-,9,9,10,6,9,-,5,6,8,-,8,5,5,5,5,12,7,10,5,11,-,98,109,99,86,100,-,-,120,123,118,164,126,-,181,182,157,-,174,220,223,231,226,151,193,153,241,149,-
Arne,-,-,-,-,-,-,-,5,-,8,5,6,7,10,18,11,8,22,21,19,10,13,20,18,12,19,20,18,-,-,-,-,-,-,-,159,-,127,183,165,145,132,102,134,163,96,108,111,162,143,110,116,140,118,108,120
Arnej,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,238
Arnes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,220,-,-,-,-,-,-,-,-,238
Aron,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,8,-,7,-,9,11,7,14,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,213,-,-,181,-,185,-,164,144,198,133,178
Arslan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,241,-,178
Artur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,238,-
A�be,-,-,-,-,-,-,-,-,6,-,6,-,12,13,44,46,39,45,42,29,24,25,26,36,21,39,23,20,-,-,-,-,-,-,-,-,158,-,164,-,107,116,53,53,64,61,65,80,97,91,91,70,108,68,93,108
Aylan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,192,198,-,-
Bastian,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,220,-,-,-,-,-,-,-,-,-
Belmin,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,159,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ben,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,202,-,-,-,-,-,-,-,-,238
Benjamin,47,58,48,63,52,80,68,66,69,64,52,50,57,48,62,38,63,56,75,54,54,66,46,51,37,41,59,47,52,46,50,44,49,36,40,37,36,40,47,49,45,49,41,59,44,53,38,53,47,40,60,52,66,66,40,49
Beno,-,-,-,-,-,-,-,5,-,6,-,-,6,6,-,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,159,-,150,-,-,161,167,-,188,189,-,-,-,-,-,-,-,-,-,-,-
Bernard,-,-,-,8,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,124,-,-,-,-,168,-,-,-,-,-,-,-,-,-,-,-,-,-,-,233,-,-,-,-
Bert,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,6,6,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,194,-,-,-,-,-,-,-,-,213,208,-,205,-
Bine,7,-,7,-,-,8,9,10,5,11,7,9,9,14,22,20,18,20,34,26,32,44,62,62,79,53,69,54,144,-,135,-,-,120,113,113,168,110,145,126,129,111,88,96,115,107,79,91,78,60,42,42,34,47,34,41
Bla�,239,271,242,263,204,205,187,189,187,160,157,136,111,111,126,101,93,112,89,93,90,79,68,47,51,34,46,28,8,6,8,6,10,8,12,11,12,12,13,16,23,25,20,25,30,26,32,33,32,35,39,57,53,75,56,85
Bleart,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,226,-,-,-,-,-,-
Bojan,30,21,21,14,13,7,7,7,11,6,-,7,6,6,-,6,5,5,-,7,-,9,-,-,-,5,-,-,71,77,78,92,100,131,135,133,104,150,-,147,161,167,-,188,213,222,-,193,-,169,-,-,-,241,-,-
Bor,7,7,11,12,11,18,19,29,31,28,34,30,34,49,47,56,62,80,68,68,66,58,60,50,67,63,57,73,144,134,105,102,107,83,80,66,67,68,58,63,57,47,50,46,45,36,43,41,40,46,44,54,40,37,42,33
Boris,24,17,16,19,15,-,6,12,7,6,-,-,-,6,-,-,-,6,6,-,-,6,5,-,-,-,-,-,77,90,87,82,88,-,143,103,140,150,-,-,-,167,-,-,-,203,202,-,-,204,235,-,-,-,-,-
Borut,32,19,30,24,20,10,12,9,10,6,8,13,9,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,68,82,67,72,83,116,97,120,112,150,133,99,129,147,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bo�tjan,71,67,47,42,21,28,30,26,12,14,11,-,5,6,6,6,-,-,6,-,-,-,-,-,-,-,-,-,40,40,51,55,79,66,60,69,100,95,104,-,180,167,182,188,-,-,202,-,-,-,-,-,-,-,-,-
Branko,-,9,6,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,117,146,-,-,-,143,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Brin,-,-,-,-,-,-,-,-,9,-,-,10,5,14,19,15,26,21,27,29,33,28,36,34,30,32,53,41,-,-,-,-,-,-,-,-,123,-,-,118,180,111,100,115,86,104,92,80,76,82,71,73,78,82,47,55
Bruno,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,213,-,222,220,-,-,-,-,-,-,-,-,-
Cene,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,5,-,5,8,6,6,10,8,11,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,194,-,-,-,220,-,231,177,211,213,153,179,149,155
Christian,8,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,139,-,-,132,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
