Contents,,,,
,,,,
"Table 6: Top names for baby girls1,2, 2017",,,,
England and Wales
Source: https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/livebirths/datasets/babynamesenglandandwalesbabynamesstatisticsgirls
License: http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
,,,,
,,,,
Rank,Name,Count3,,
560,RIA ,77,,
565,ALIA ,76,,
565,ALIVIA ,76,,
565,AMAL ,76,,
565,ANGELA ,76,,
565,IMAN ,76,,
565,KHALEESI ,76,,
565,REBECA ,76,,
565,SALMA ,76,,
565,SELENA ,76,,
574,HIBA ,75,,
574,LINA ,75,,
576,ARLA ,74,,
576,ELISABETH ,74,,
576,LOLA-ROSE ,74,,
576,MIYA ,74,,
576,PEGGY ,74,,
576,ROBIN ,74,,
582,AMANDA ,73,,
582,AYSHA ,73,,
582,EADIE ,73,,
582,HETTIE ,73,,
582,LIANA ,73,,
582,MICHAELA ,73,,
582,TARA ,73,,
589,AIDA ,72,,
589,HOORAIN ,72,,
589,KAIA ,72,,
589,YASMINE ,72,,
593,ALANNA ,71,,
593,BETHAN ,71,,
593,CECILIA ,71,,
593,EMA ,71,,
593,EVALYN ,71,,
593,ISLA-MAE ,71,,
593,JASMIN ,71,,
593,JULIET ,71,,
593,NATASHA ,71,,
593,PARIS ,71,,
593,TAMARA ,71,,
604,CARLA ,70,,
604,JENNA ,70,,
604,JOY ,70,,
604,RUMAYSA ,70,,
604,YARA ,70,,
609,ELISSA ,69,,
609,LEELA ,69,,
609,MILLICENT ,69,,
609,NELA ,69,,
609,NOA ,69,,
609,RUBY-ROSE ,69,,
609,THEIA ,69,,
616,ALAYAH ,68,,
616,AMNA ,68,,
616,ELIF ,68,,
616,ELISHA ,68,,
616,EVIE-MAE ,68,,
616,KHLOE ,68,,
616,MORGAN ,68,,
616,PHOENIX ,68,,
624,AAYAT ,67,,
624,ELSIE-MAE ,67,,
624,HARLEIGH ,67,,
624,HELEN ,67,,
624,MELANIE ,67,,
624,RANIA ,67,,
624,THEODORA ,67,,
631,ELARA ,66,,
631,ELORA ,66,,
631,INES ,66,,
631,ISABELLA-ROSE ,66,,
631,KAYA ,66,,
631,MAE ,66,,
637,ALESHA ,65,,
637,ALISA ,65,,
637,ANDREA ,65,,
637,AVERY ,65,,
637,CHRISTINA ,65,,
637,LILI ,65,,
637,LILY-MAY ,65,,
637,MILLIE-ROSE ,65,,
637,ROSANNA ,65,,
637,TILLIE ,65,,
637,UNA ,65,,
648,BETH ,64,,
648,CASSIE ,64,,
648,CHARLIE ,64,,
648,DAISY-MAE ,64,,
648,EMBER ,64,,
648,ESMAI ,64,,
648,GWEN ,64,,
648,IZABELA ,64,,
648,MARGO ,64,,
648,PRINCESS ,64,,
648,RIYA ,64,,
648,SAVANNA ,64,,
648,ZOEY ,64,,
661,DUA ,63,,
661,LIBERTY ,63,,
661,LILIAN ,63,,
661,LULA ,63,,
661,SORAYA ,63,,
666,ANDREEA ,62,,
666,ANGELICA ,62,,
666,HARLIE ,62,,
666,LYLAH ,62,,
666,MAHNOOR ,62,,
666,OLIVIA-GRACE ,62,,
666,SKY ,62,,
673,AGATHA ,61,,
673,AMANI ,61,,
673,ARIELLE ,61,,
673,GRETA ,61,,
673,JANA ,61,,
673,KENDALL ,61,,
673,RENAE ,61,,
673,SIYA ,61,,
673,VIKTORIA ,61,,
673,WYNTER ,61,,
683,CELESTE ,60,,
683,COCO ,60,,
683,CRYSTAL ,60,,
683,EMILIJA ,60,,
683,EMILY-ROSE ,60,,
683,ERYN ,60,,
683,HAYLEY ,60,,
683,INDIGO ,60,,
683,ISOBELLE ,60,,
683,LAVINIA ,60,,
683,LEONIE ,60,,
683,MAY ,60,,
695,ELLA-MAE ,59,,
695,IGA ,59,,
695,MARCIE ,59,,
695,MARINA ,59,,
695,STEVIE ,59,,
695,SYLVIA ,59,,
701,AARYA ,58,,
701,AQSA ,58,,
701,CASEY ,58,,
701,COURTNEY ,58,,
701,HARLEEN ,58,,
701,KATHLEEN ,58,,
701,LAIBA ,58,,
701,LAINEY ,58,,
701,MALAIKA ,58,,
701,OCEAN ,58,,
701,REYA ,58,,
701,ROMY ,58,,
701,THALIA ,58,,
701,VERONICA ,58,,
715,CASSIDY ,57,,
715,DANIELA ,57,,
715,DOTTY ,57,,
715,ESMAY ,57,,
715,GRACIE-MAY ,57,,
715,IMANI ,57,,
715,IYLAH ,57,,
715,KAIRA ,57,,
715,KAJA ,57,,
715,NICOLA ,57,,
715,PATRICIA ,57,,
715,SIENNA-ROSE ,57,,
715,SONIA ,57,,
728,ADELINA ,56,,
728,AYVA ,56,,
728,DAISIE ,56,,
728,DEBORAH ,56,,
728,ROSEMARY ,56,,
733,AMELIA-GRACE ,55,,
733,AYAANA ,55,,
733,ELSPETH ,55,,
733,FARAH ,55,,
