Frecuencias de nombres masculinos,,,
Datos procedentes de la Estadística del Padrón Continuo a fecha 01/01/2017,,,
INE.es
,,,
Nombres masculinos con frecuencia mayor o igual a 20 a nivel nacional.,,,
(*) Edad media de las personas que tienen ese nombre a nivel nacional.,,,
,,,
Orden,Nombre,Frecuencia,Edad Media (*)
360,NARCISO,5.701 ,"61,4"
361,BENIGNO,5.689 ,"64,9"
362,FABIO,5.684 ,"22,8"
363,LUIS ENRIQUE,5.672 ,"41,6"
364,ALAN,5.630 ,"19,3"
365,PATRICIO,5.613 ,"52,7"
366,BERNARDINO,5.581 ,"62,1"
367,CECILIO,5.580 ,"61,6"
368,MARCEL,5.577 ,"29,5"
369,AYOUB,5.568 ,"13,1"
370,DIDAC,5.564 ,"16,9"
371,HAMZA,5.563 ,"16,8"
372,SEGUNDO,5.534 ,"66,4"
373,CONSTANTIN,5.528 ,"44,0"
374,PEDRO PABLO,5.508 ,"45,7"
375,GAEL,5.501 ,"5,2"
376,BRAHIM,5.478 ,"36,9"
377,ANTONIO FRANCISCO,5.424 ,"45,5"
378,DYLAN,5.405 ,"4,6"
379,LEOPOLDO,5.371 ,"57,7"
380,FRANCISCO LUIS,5.352 ,"47,6"
381,VALERIANO,5.284 ,"63,2"
382,ABDELAZIZ,5.221 ,"42,2"
383,CAMILO,5.197 ,"54,5"
384,DEMETRIO,5.191 ,"63,6"
385,MARIAN,5.176 ,"39,6"
386,MAURICIO,5.124 ,"46,8"
387,NOEL,5.118 ,"20,0"
388,ANTON,5.092 ,"23,7"
389,CESAREO,5.091 ,"63,4"
390,PEDRO JAVIER,5.085 ,"38,9"
391,BRIAN,4.989 ,"22,8"
392,ADAN,4.918 ,"20,5"
393,ANASTASIO,4.834 ,"66,9"
394,MICHAEL,4.820 ,"34,2"
395,CIPRIANO,4.815 ,"65,1"
396,FLORIN,4.800 ,"36,3"
397,OCTAVIO,4.795 ,"52,5"
398,RODOLFO,4.784 ,"55,2"
399,ROQUE,4.784 ,"47,7"
400,CARLOS JOSE,4.765 ,"42,2"
401,PEDRO MIGUEL,4.763 ,"44,9"
402,LUCIO,4.740 ,"63,5"
403,NICOLAE,4.739 ,"43,0"
404,MANUEL ALEJANDRO,4.731 ,"30,6"
405,BIENVENIDO,4.704 ,"61,0"
406,BERNABE,4.685 ,"54,9"
407,FRANCISCO BORJA,4.684 ,"35,6"
408,ABDERRAHIM,4.667 ,"37,6"
409,ALAIN,4.655 ,"21,8"
410,ANSELMO,4.653 ,"61,7"
411,JOSE FELIX,4.646 ,"50,0"
412,JUAN DAVID,4.646 ,"24,5"
413,ANAS,4.643 ,"9,6"
414,IBRAHIM,4.641 ,"19,3"
415,KARIM,4.639 ,"27,9"
416,JOSE GABRIEL,4.634 ,"42,2"
417,HAMID,4.630 ,"40,1"
418,BALTASAR,4.627 ,"58,6"
419,LAZARO,4.611 ,"54,1"
420,JOSE PEDRO,4.562 ,"48,0"
421,AMADEO,4.543 ,"60,3"
422,JESUS MIGUEL,4.543 ,"44,0"
423,PELAYO,4.536 ,"20,8"
424,FRANCISCO ASIS,4.509 ,"44,1"
425,MANUEL FRANCISCO,4.463 ,"48,9"
426,EULOGIO,4.441 ,"63,9"
427,JOSE RAFAEL,4.433 ,"48,2"
428,PLACIDO,4.433 ,"61,4"
429,LUIS FRANCISCO,4.429 ,"44,5"
430,TEOFILO,4.392 ,"67,2"
431,CASIMIRO,4.384 ,"65,5"
432,FULGENCIO,4.332 ,"60,3"
433,CELSO,4.310 ,"60,2"
434,IGNASI,4.293 ,"33,9"
435,ABDESLAM,4.262 ,"48,7"
436,ELOI,4.229 ,"17,8"
437,JUAN ENRIQUE,4.222 ,"46,2"
438,BALDOMERO,4.204 ,"60,6"
439,JOSE DOMINGO,4.195 ,"48,8"
440,JESUS JAVIER,4.169 ,"44,3"
441,PAUL,4.154 ,"32,5"
442,HERMINIO,4.151 ,"63,4"
443,ALBERTO JOSE,4.149 ,"40,1"
444,DENIS,4.121 ,"19,1"
445,MAXIMINO,4.114 ,"64,0"
446,YASSINE,4.110 ,"21,1"
447,JORGE JUAN,4.081 ,"43,9"
448,DRISS,4.072 ,"43,4"
449,PABLO JOSE,4.029 ,"35,0"
450,BEÑAT,4.025 ,"16,1"
451,MAX,3.956 ,"9,7"
452,JAMAL,3.949 ,"36,3"
453,VICTOR JOSE,3.934 ,"37,9"
454,VICENTE JOSE,3.932 ,"47,7"
455,ANIBAL,3.927 ,"40,9"
456,JOSE ALEJANDRO,3.921 ,"34,9"
457,VICENT,3.916 ,"29,5"
458,AQUILINO,3.903 ,"62,4"
459,MAMADOU,3.898 ,"36,1"
460,ALEXANDRU,3.893 ,"33,4"
461,JUAN GABRIEL,3.880 ,"35,8"
462,ORLANDO,3.864 ,"47,8"
463,GUMERSINDO,3.855 ,"65,0"
464,NORBERTO,3.855 ,"52,3"
465,LLUC,3.843 ,"10,0"
466,LUIS ALFONSO,3.841 ,"44,7"
467,THIAGO,3.837 ,"4,7"
468,AXEL,3.825 ,"13,4"
469,JOSE PABLO,3.812 ,"41,3"
470,MARINO,3.804 ,"59,8"
471,IBON,3.800 ,"28,5"
472,BONIFACIO,3.795 ,"66,1"
473,JUAN FERNANDO,3.786 ,"45,5"
474,CARLOS ENRIQUE,3.780 ,"45,2"
475,VIDAL,3.778 ,"58,4"
476,MARCOS ANTONIO,3.762 ,"39,9"
477,VICTORINO,3.731 ,"67,5"
478,AZIZ,3.722 ,"37,0"
