,,
,,
2001,,
Name,Number of Babies,Rank
Gordon,..,..
Gregg,..,..
Gregory,..,..
Gurteag,..,..
Guy,..,..
Hal,..,..
Hamed,..,..
Hamza,..,..
Harold,..,..
Harris,..,..
Hasan,..,..
Hassan,..,..
Herbert,..,..
Hugo,..,..
Iain,..,..
Iarla,..,..
Iarlaith,..,..
Iarlath,..,..
Ibrahim,..,..
Ikechukwu,..,..
Isaiah,..,..
Ishmael,..,..
Izaak,..,..
Jac,..,..
Jackie,..,..
Jack-Lee,..,..
Jacq,..,..
Jacques,..,..
Jaden,..,..
Jaiden,..,..
Jak,..,..
Jakob,..,..
Jamie-Lee,..,..
Jannik,..,..
Jarl,..,..
Jarlaith,..,..
Jason-Lee,..,..
Jaye,..,..
Jaymee,..,..
Jaymin,..,..
Jayson,..,..
Jazib,..,..
Jedidiah,..,..
Jeff,..,..
Jeffrey,..,..
Jenson,..,..
Jeremy,..,..
Jerome,..,..
Jim,..,..
Jimmy,..,..
John-James,..,..
John-Preston,..,..
Jo-Jo,..,..
Jon,..,..
Jona,..,..
Jonas,..,..
Jonjo,..,..
Jon-Lee,..,..
Jon-Tyler,..,..
Jools,..,..
Joseff,..,..
Joshua-Matteo,..,..
Jozef,..,..
Jun,..,..
Junior,..,..
Kacy,..,..
Kaden,..,..
Kaelin,..,..
Kaeliph,..,..
Kaia,..,..
Kailan,..,..
Kailem,..,..
Kailum,..,..
Kal,..,..
Kale,..,..
Kalil,..,..
Ka-Lok,..,..
Kalum,..,..
Kamaal,..,..
Kamal,..,..
Kameron,..,..
Karan,..,..
Kareem,..,..
Kavanagh,..,..
Kaylem,..,..
Kaylin,..,..
Kealim,..,..
Keaton,..,..
Keebhan,..,..
Keegan,..,..
Keelin,..,..
Keelyn,..,..
Keenan,..,..
Keir,..,..
Keiran,..,..
Kelsie,..,..
Kelvin,..,..
Kendrick,..,..
Kenyatta,..,..
Keown,..,..
Kerr,..,..
Kevan,..,..
Kevin-Paul,..,..
Khai,..,..
Kia,..,..
Kielan,..,..
Kienan,..,..
Kiernan,..,..
Kieron,..,..
Kilian,..,..
Kim,..,..
Kingsley,..,..
Kinivuai,..,..
Kion,..,..
Kirtus,..,..
Kiyle,..,..
Klevis,..,..
Kobe,..,..
Kodi,..,..
Kolya,..,..
Korben,..,..
Korey,..,..
Kori,..,..
Kristopher,..,..
Kumar,..,..
Kurt,..,..
Kurtus,..,..
Kwan,..,..
Kye,..,..
Lachlan,..,..
Lachlin,..,..
Lauran,..,..
Laurence,..,..
Laurent,..,..
Leannan,..,..
Lenin,..,..
Lennon,..,..
Lennox,..,..
Leonhard,..,..
Leon-Junior,..,..
Leslie,..,..
Lewes,..,..
Lia,..,..
Linford,..,..
Lloyd,..,..
Lochlainn,..,..
Lochlan,..,..
Lochlann,..,..
Lrccan,..,..
Lucasryan,..,..
Lucca,..,..
Lughan,..,..
Luis,..,..
Luka,..,..
Lukas,..,..
Mackenzie,..,..
Madison,..,..
Maghnus,..,..
Mairtin,..,..
Makenzie,..,..
Malachi,..,..
Malcolm,..,..
Manus,..,..
Marcas,..,..
Marco,..,..
Matt,..,..
Matteo,..,..
Maximiliano,..,..
Melvin,..,..
Mervyn,..,..
Micah,..,..
Michele,..,..
Mike,..,..
Miles,..,..
Min,..,..
Min-Hoo,..,..
Miollan,..,..
Mir,..,..
Mitch,..,..
Mitchum,..,..
Muawiya,..,..
Muhammed,..,..
Mun,..,..
Murad,..,..
Murray,..,..
Naoise,..,..
Nasoni,..,..
Nathan-Paul,..,..
Nathean,..,..
Navaneethan,..,..
Neal,..,..
Nedal,..,..
Neeson,..,..
Neill,..,..
Nelson,..,..
Neville,..,..
Nicolas,..,..
Nigel,..,..
Nikita,..,..
Nolan,..,..
North,..,..
Oakley,..,..
Oghenetega,..,..
Oissine,..,..
Oistin,..,..
Okan,..,..
Orainn,..,..
Oran-Lee,..,..
Orhan,..,..
Orin,..,..
Orran,..,..
Orrin,..,..
Oscar,..,..
Ossian,..,..
Paddy,..,..
Padhraic,..,..
Pairic,..,..
Pariag,..,..
Pascal,..,..
Patric,..,..
Patsy,..,..
Phelan,..,..
Pierre,..,..
Pilib,..,..
Podraig,..,..
Pol,..,..
Pranav,..,..
Randal,..,..
Ratu,..,..
Raymond,..,..
Rayyan,..,..
Reese,..,..
Reice,..,..
Reiss,..,..
Remus,..,..
Rene,..,..
Reyad,..,..
Rhyss,..,..
Ricky,..,..
Rio,..,..
Rioghan,..,..
Rob,..,..
Robert-James,..,..
Robson,..,..
Rodney,..,..
Rohan,..,..
Ronnie,..,..
Ros,..,..
Rossa,..,..
Rowan,..,..
Ruadhri,..,..
Ruaidhri,..,..
Ruairaidh,..,..
Ruari,..,..
Ruben,..,..
Rui,..,..
Ryce,..,..
Saif,..,..
Saldenio,..,..
Salem,..,..
Salh,..,..
Samer,..,..
Sam-Luis,..,..
Saoirse,..,..
Scot,..,..
Se,..,..
Sean-Martin,..,..
Seanna,..,..
Sean-Patrick,..,..
Sean-Paul,..,..
Sebastian,..,..
Senan,..,..
Shae,..,..
Shamus,..,..
Shan,..,..
Shaquille,..,..
Shawn,..,..
Shaye,..,..
Shealan,..,..
Shrenik,..,..
Shunsuke,..,..
Silean,..,..
Simeon,..,..
