"","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Bobby","376","292","395","251","235","184","146","105","128","108","109","85","64","63","63","59","54","50","47","48","43","29"
"Daragh","95","92","82","80","94","88","86","88","123","108","n/a","103","157","157","n/a","171","n/a","n/a","n/a","240","n/a","n/a"
"Kacper","0","0","0","0","0","0","504","399","213","108","n/a","95","102","104","98","107","n/a","n/a","n/a","188","n/a","n/a"
"Tomás","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","89","n/a"
"Hugh","101","102","109","117","106","101","91","99","107","111","100","92","126","99","n/a","98","n/a","n/a","n/a","117","n/a","n/a"
"Colin","70","79","78","92","110","81","69","102","88","112","n/a","122","144","165","n/a","199","n/a","n/a","n/a","272","n/a","n/a"
"Craig","50","49","49","40","59","63","72","89","85","112","n/a","173","170","232","n/a","229","n/a","n/a","n/a","356","n/a","n/a"
"Lorcan","102","95","92","93","97","119","91","111","105","112","n/a","92","97","108","n/a","115","100","87","96","111","n/a","n/a"
"Richard","73","63","82","75","82","105","110","107","125","115","n/a","138","128","137","n/a","171","n/a","n/a","n/a","138","n/a","n/a"
"Owen","82","85","84","83","84","103","88","95","92","116","n/a","119","123","136","n/a","167","n/a","n/a","n/a","244","n/a","n/a"
"Connor","71","118","106","101","90","76","83","114","95","117","n/a","122","135","137","n/a","197","n/a","n/a","n/a","296","n/a","n/a"
"Donnacha","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","100","n/a","n/a","76","73","84","86","70","68","55","57","56"
"Billy","188","144","174","145","138","156","107","101","103","120","n/a","112","121","101","100","110","95","79","77","74","81","75"
"Tristan","162","201","155","147","136","142","152","122","99","120","n/a","118","116","128","n/a","142","n/a","n/a","n/a","179","n/a","n/a"
"Darren","47","47","52","62","72","76","76","83","88","122","n/a","132","128","149","n/a","131","n/a","n/a","n/a","234","n/a","n/a"
"Daire","107","122","106","98","116","92","95","96","98","123","n/a","108","100","112","n/a","120","n/a","100","n/a","106","n/a","n/a"
"Denis","115","113","119","117","95","117","129","136","121","123","n/a","158","175","165","n/a","161","n/a","n/a","n/a","145","n/a","n/a"
"Luca","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","99","100","93","102","77","59"
"Patryk","462","458","395","773","451","649","953","236","201","123","n/a","97","95","125","n/a","192","n/a","n/a","n/a","263","n/a","n/a"
"Tyler","222","214","183","191","204","214","213","146","172","123","146","130","83","65","45","67","75","80","75","97","93","n/a"
"Philip","87","78","74","97","123","111","126","128","107","129","n/a","140","153","187","n/a","147","n/a","n/a","n/a","162","n/a","n/a"
"Daithi","628","333","274","773","267","245","278","209","186","130","139","122","93","100","n/a","102","n/a","93","81","71","n/a","n/a"
"Sebastian","376","222","349","273","292","245","263","243","199","132","137","135","92","92","n/a","98","87","97","98","80","93","n/a"
"Simon","92","105","106","106","129","109","113","126","118","132","n/a","173","175","142","n/a","178","n/a","n/a","n/a","203","n/a","n/a"
"Danny","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","92","96","79","68","70","64","70","68"
"Filip","628","0","686","0","0","504","441","278","202","134","95","87","71","80","76","102","n/a","n/a","n/a","105","n/a","n/a"
"Gerard","79","81","88","105","96","132","125","134","133","134","n/a","213","215","198","n/a","197","n/a","n/a","n/a","210","n/a","n/a"
"Karl","69","71","94","78","110","97","100","93","111","134","n/a","183","219","263","n/a","296","n/a","n/a","n/a","356","n/a","n/a"
"Shay","203","266","274","209","185","187","167","156","134","134","n/a","97","75","106","n/a","76","83","78","78","84","65","63"
"Eric","75","90","94","106","92","119","103","102","131","139","n/a","137","128","143","n/a","131","n/a","n/a","n/a","141","n/a","n/a"
"George","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","90","93","88","70","65"
"Seamus","95","107","101","111","97","119","129","131","143","143","n/a","147","178","160","n/a","178","n/a","n/a","n/a","134","n/a","n/a"
"Brendan","78","84","76","90","84","81","104","110","111","145","n/a","167","153","164","n/a","199","n/a","n/a","n/a","220","n/a","n/a"
"Shaun","87","90","102","98","136","106","120","134","166","147","n/a","227","300","238","n/a","317","n/a","n/a","n/a","443","n/a","n/a"
"Steven","83","97","97","131","99","124","135","128","140","147","n/a","158","225","245","n/a","296","n/a","n/a","n/a","495","n/a","n/a"
"Tommy","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","169","n/a","n/a","88","80","78","69","63","66","68","69","53"
"Marcus","162","141","155","147","174","130","140","181","154","158","n/a","213","178","170","n/a","184","n/a","n/a","n/a","162","n/a","n/a"
"Keith","63","74","86","74","79","90","124","123","140","162","n/a","183","239","342","n/a","383","n/a","n/a","n/a","495","n/a","n/a"
"Dillon","89","86","105","123","123","107","137","148","179","166","n/a","183","214","183","n/a","209","n/a","n/a","n/a","257","n/a","n/a"
"Muhammad","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","83","87","63","78"
"Henry","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","91","83","75","81","81","83"
"Glen","92","104","121","123","155","142","146","136","207","175","n/a","292","399","263","n/a","479","n/a","n/a","n/a","610","n/a","n/a"
"Szymon","0","0","686","0","596","947","0","518","223","175","n/a","99","116","114","n/a","171","n/a","n/a","n/a","142","n/a","n/a"
"Barry","83","89","91","111","123","130","122","138","145","180","n/a","220","283","245","n/a","352","n/a","n/a","n/a","443","n/a","n/a"
"Declan","98","102","106","114","113","128","120","138","145","186","n/a","177","187","204","n/a","245","n/a","n/a","n/a","443","n/a","n/a"
"Emmet","95","133","113","121","130","126","140","146","161","186","n/a","183","225","204","n/a","276","n/a","n/a","n/a","356","n/a","n/a"
"Jordan","22","20","20","29","42","61","98","136","157","186","n/a","199","283","256","n/a","209","n/a","n/a","n/a","184","n/a","n/a"
"Donal","89","92","113","123","134","136","143","126","145","190","n/a","155","187","183","n/a","202","n/a","n/a","n/a","272","n/a","n/a"
"Ian","62","64","78","87","78","97","132","119","134","190","n/a","173","259","289","n/a","276","n/a","n/a","n/a","263","n/a","n/a"
"Alfie","0","0","0","0","0","305","317","252","184","195","146","115","97","85","79","66","58","62","54","36","46","40"
"Logan","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","97","79","71","59","57","41","45","58"
"Gary","71","72","89","98","87","117","112","160","145","201","n/a","195","275","215","n/a","383","n/a","n/a","n/a","443","n/a","n/a"
"Joey","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","97"
"Kai","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","85","73","80","92","77","84","65"
"Neil","109","97","103","134","130","134","152","166","184","201","n/a","337","219","308","n/a","317","n/a","n/a","n/a","317","n/a","n/a"
"Hugo","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","97","91","89","92","87","75"
"Arthur","67","73","60","72","69","72","73","90","105","94","n/a","152","141","152","n/a","152","n/a","n/a","n/a","91","73","80"
"Theo","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","73","62","48"
"Emmanuel","268","204","210","138","107","95","117","166","161","226","n/a","183","198","308","n/a","404","n/a","n/a","n/a","336","n/a","n/a"
"Mason","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","252","n/a","n/a","70","57","40","44","39","43","49","53","46"
"Freddie","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","91","73"
"Eli","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","92"
"Ollie","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","83","n/a","87","66","53","40","42","47"
"Frankie","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","100","85"
"Kayden","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","91","n/a","n/a","n/a","102","n/a","80"
"Theodore","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","93","72"
"Archie","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","100","89","63"
"Jackson","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","99","n/a","n/a"
"Seán","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","13","23"
"Odhrán","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","97"
"Ruairí","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","87"
