num,Name,Year
4,Katie,2007
566,Katie,2007
2,Katie,2008
667,Katie,2008
6,Katie,2009
502,Katie,2009
8,Katie,2010
451,Katie,2010
10,Katie,2011
436,Katie,2011
14,Katie,2012
353,Katie,2012
18,Katie,2013
301,Katie,2013
17,Katie,2014
301,Katie,2014
22,Katie,2015
247,Katie,2015
21,Katie,2016
251,Katie,2016
28,Katie,2017
193,Katie,2017
24,Caoimhe,1998
184,Caoimhe,1998
22,Caoimhe,1999
236,Caoimhe,1999
22,Caoimhe,2000
253,Caoimhe,2000
19,Caoimhe,2001
274,Caoimhe,2001
20,Caoimhe,2002
272,Caoimhe,2002
12,Caoimhe,2003
357,Caoimhe,2003
12,Caoimhe,2004
357,Caoimhe,2004
17,Caoimhe,2005
345,Caoimhe,2005
15,Caoimhe,2006
363,Caoimhe,2006
17,Caoimhe,2007
361,Caoimhe,2007
16,Caoimhe,2008
355,Caoimhe,2008
21,Caoimhe,2009
326,Caoimhe,2009
24,Caoimhe,2010
323,Caoimhe,2010
14,Caoimhe,2011
398,Caoimhe,2011
16,Caoimhe,2012
334,Caoimhe,2012
19,Caoimhe,2013
292,Caoimhe,2013
25,Caoimhe,2014
242,Caoimhe,2014
20,Caoimhe,2015
252,Caoimhe,2015
19,Caoimhe,2016
256,Caoimhe,2016
23,Caoimhe,2017
223,Caoimhe,2017
138,Sophia,1998
24,Sophia,1998
108,Sophia,1999
37,Sophia,1999
111,Sophia,2000
38,Sophia,2000
126,Sophia,2001
35,Sophia,2001
108,Sophia,2002
46,Sophia,2002
100,Sophia,2003
51,Sophia,2003
71,Sophia,2004
81,Sophia,2004
85,Sophia,2005
65,Sophia,2005
69,Sophia,2006
87,Sophia,2006
51,Sophia,2007
137,Sophia,2007
55,Sophia,2008
126,Sophia,2008
50,Sophia,2009
147,Sophia,2009
33,Sophia,2010
218,Sophia,2010
29,Sophia,2011
251,Sophia,2011
21,Sophia,2012
299,Sophia,2012
20,Sophia,2013
289,Sophia,2013
15,Sophia,2014
316,Sophia,2014
21,Sophia,2015
251,Sophia,2015
22,Sophia,2016
243,Sophia,2016
18,Sophia,2017
245,Sophia,2017
10,Lauren,1998
363,Lauren,1998
9,Lauren,1999
452,Lauren,1999
8,Lauren,2000
451,Lauren,2000
6,Lauren,2001
477,Lauren,2001
10,Lauren,2002
402,Lauren,2002
15,Lauren,2003
311,Lauren,2003
17,Lauren,2004
318,Lauren,2004
19,Lauren,2005
312,Lauren,2005
21,Lauren,2006
320,Lauren,2006
22,Lauren,2007
283,Lauren,2007
19,Lauren,2008
343,Lauren,2008
12,Lauren,2009
371,Lauren,2009
21,Lauren,2010
339,Lauren,2010
22,Lauren,2011
305,Lauren,2011
23,Lauren,2012
290,Lauren,2012
21,Lauren,2013
279,Lauren,2013
24,Lauren,2014
261,Lauren,2014
19,Lauren,2015
265,Lauren,2015
25,Lauren,2016
224,Lauren,2016
36,Lauren,2017
152,Lauren,2017
37,Saoirse,1998
117,Saoirse,1998
31,Saoirse,1999
160,Saoirse,1999
30,Saoirse,2000
176,Saoirse,2000
28,Saoirse,2001
192,Saoirse,2001
31,Saoirse,2002
181,Saoirse,2002
36,Saoirse,2003
172,Saoirse,2003
35,Saoirse,2004
176,Saoirse,2004
36,Saoirse,2005
186,Saoirse,2005
29,Saoirse,2006
217,Saoirse,2006
26,Saoirse,2007
247,Saoirse,2007
24,Saoirse,2008
279,Saoirse,2008
25,Saoirse,2009
275,Saoirse,2009
18,Saoirse,2010
355,Saoirse,2010
19,Saoirse,2011
339,Saoirse,2011
17,Saoirse,2012
317,Saoirse,2012
22,Saoirse,2013
264,Saoirse,2013
23,Saoirse,2014
263,Saoirse,2014
18,Saoirse,2015
282,Saoirse,2015
12,Saoirse,2016
324,Saoirse,2016
15,Saoirse,2017
281,Saoirse,2017
175,Ellie,1998
18,Ellie,1998
166,Ellie,1999
21,Ellie,1999
127,Ellie,2000
32,Ellie,2000
89,Ellie,2001
54,Ellie,2001
46,Ellie,2002
122,Ellie,2002
38,Ellie,2003
153,Ellie,2003
38,Ellie,2004
169,Ellie,2004
32,Ellie,2005
193,Ellie,2005
30,Ellie,2006
215,Ellie,2006
31,Ellie,2007
227,Ellie,2007
35,Ellie,2008
208,Ellie,2008
36,Ellie,2009
211,Ellie,2009
28,Ellie,2010
265,Ellie,2010
24,Ellie,2011
293,Ellie,2011
28,Ellie,2012
250,Ellie,2012
23,Ellie,2013
256,Ellie,2013
19,Ellie,2014
288,Ellie,2014
24,Ellie,2015
233,Ellie,2015
20,Ellie,2016
254,Ellie,2016
20,Ellie,2017
243,Ellie,2017
75,Holly,1998
51,Holly,1998
46,Holly,1999
101,Holly,1999
53,Holly,2000
84,Holly,2000
49,Holly,2001
107,Holly,2001
35,Holly,2002
171,Holly,2002
28,Holly,2003
213,Holly,2003
25,Holly,2004
253,Holly,2004
29,Holly,2005
228,Holly,2005
33,Holly,2006
203,Holly,2006
32,Holly,2007
224,Holly,2007
26,Holly,2008
264,Holly,2008
21,Holly,2009
326,Holly,2009
11,Holly,2010
380,Holly,2010
23,Holly,2011
297,Holly,2011
19,Holly,2012
312,Holly,2012
24,Holly,2013
245,Holly,2013
21,Holly,2014
266,Holly,2014
28,Holly,2015
208,Holly,2015
23,Holly,2016
239,Holly,2016
27,Holly,2017
195,Holly,2017
27,Leah,1998
146,Leah,1998
27,Leah,1999
185,Leah,1999
14,Leah,2000
302,Leah,2000
12,Leah,2001
374,Leah,2001
15,Leah,2002
351,Leah,2002
10,Leah,2003
395,Leah,2003
9,Leah,2004
424,Leah,2004
9,Leah,2005
427,Leah,2005
9,Leah,2006
444,Leah,2006
16,Leah,2007
364,Leah,2007
13,Leah,2008
402,Leah,2008
15,Leah,2009
358,Leah,2009
16,Leah,2010
369,Leah,2010
15,Leah,2011
350,Leah,2011
24,Leah,2012
287,Leah,2012
25,Leah,2013
232,Leah,2013
27,Leah,2014
207,Leah,2014
34,Leah,2015
187,Leah,2015
30,Leah,2016
191,Leah,2016
29,Leah,2017
192,Leah,2017
12,Amy,1998
353,Amy,1998
11,Amy,1999
420,Amy,1999
8,Amy,2000
451,Amy,2000
8,Amy,2001
447,Amy,2001
6,Amy,2002
485,Amy,2002
9,Amy,2003
410,Amy,2003
4,Amy,2004
546,Amy,2004
4,Amy,2005
510,Amy,2005
11,Amy,2006
396,Amy,2006
11,Amy,2007
415,Amy,2007
16,Amy,2008
355,Amy,2008
11,Amy,2009
385,Amy,2009
14,Amy,2010
371,Amy,2010
25,Amy,2011
289,Amy,2011
25,Amy,2012
253,Amy,2012
26,Amy,2013
226,Amy,2013
30,Amy,2014
191,Amy,2014
36,Amy,2015
185,Amy,2015
45,Amy,2016
133,Amy,2016
44,Amy,2017
136,Amy,2017
83,Olivia,1998
43,Olivia,1998
41,Olivia,1999
112,Olivia,1999
51,Olivia,2000
88,Olivia,2000
