num,Name,Year,Statistic
495,Luke,2009,Registered Births in Ireland (Number)
9,Luke,2010,Rank of Name in Ireland  (Number)
509,Luke,2010,Registered Births in Ireland (Number)
12,Luke,2011,Rank of Name in Ireland  (Number)
487,Luke,2011,Registered Births in Ireland (Number)
11,Luke,2012,Rank of Name in Ireland  (Number)
457,Luke,2012,Registered Births in Ireland (Number)
13,Luke,2013,Rank of Name in Ireland  (Number)
403,Luke,2013,Registered Births in Ireland (Number)
7,Luke,2014,Rank of Name in Ireland  (Number)
437,Luke,2014,Registered Births in Ireland (Number)
10,Luke,2015,Rank of Name in Ireland  (Number)
382,Luke,2015,Registered Births in Ireland (Number)
10,Luke,2016,Rank of Name in Ireland  (Number)
375,Luke,2016,Registered Births in Ireland (Number)
7,Luke,2017,Rank of Name in Ireland  (Number)
420,Luke,2017,Registered Births in Ireland (Number)
37,Oisin,1998,Rank of Name in Ireland  (Number)
174,Oisin,1998,Registered Births in Ireland (Number)
25,Oisin,1999,Rank of Name in Ireland  (Number)
249,Oisin,1999,Registered Births in Ireland (Number)
22,Oisin,2000,Rank of Name in Ireland  (Number)
287,Oisin,2000,Registered Births in Ireland (Number)
23,Oisin,2001,Rank of Name in Ireland  (Number)
283,Oisin,2001,Registered Births in Ireland (Number)
25,Oisin,2002,Rank of Name in Ireland  (Number)
300,Oisin,2002,Registered Births in Ireland (Number)
20,Oisin,2003,Rank of Name in Ireland  (Number)
342,Oisin,2003,Registered Births in Ireland (Number)
18,Oisin,2004,Rank of Name in Ireland  (Number)
384,Oisin,2004,Registered Births in Ireland (Number)
21,Oisin,2005,Rank of Name in Ireland  (Number)
370,Oisin,2005,Registered Births in Ireland (Number)
16,Oisin,2006,Rank of Name in Ireland  (Number)
413,Oisin,2006,Registered Births in Ireland (Number)
18,Oisin,2007,Rank of Name in Ireland  (Number)
407,Oisin,2007,Registered Births in Ireland (Number)
16,Oisin,2008,Rank of Name in Ireland  (Number)
454,Oisin,2008,Registered Births in Ireland (Number)
17,Oisin,2009,Rank of Name in Ireland  (Number)
420,Oisin,2009,Registered Births in Ireland (Number)
17,Oisin,2010,Rank of Name in Ireland  (Number)
384,Oisin,2010,Registered Births in Ireland (Number)
15,Oisin,2011,Rank of Name in Ireland  (Number)
436,Oisin,2011,Registered Births in Ireland (Number)
14,Oisin,2012,Rank of Name in Ireland  (Number)
407,Oisin,2012,Registered Births in Ireland (Number)
14,Oisin,2013,Rank of Name in Ireland  (Number)
392,Oisin,2013,Registered Births in Ireland (Number)
13,Oisin,2014,Rank of Name in Ireland  (Number)
381,Oisin,2014,Registered Births in Ireland (Number)
