,,,,,,,,,,,,,,,,,,,,,,,
Flickors tilltalsnamn 1998-2020,,,,,,,,,,,,,,,,,,,,,,,
Girls' first names 1998-2020,,,,,,,,,,,,,,,,,,,,,,,
Tabellen visar i alfabetisk ordning alla tilltalsnamn som getts till minst 10 flickor under något av åren.,,,,,,,,,,,,,,,,,,,,,,,
Varje stavning redovisas som ett eget namn.  - = färre än 10.,,,,,,,,,,,,,,,,,,,,,,,
The table includes an alphabetical list of all 'usual' given names assigned to more than ten girls for at least part of the period.,,,,,,,,,,,,,,,,,,,,,,,
Every spelling variation is counted as a name in its own right. The symbol '-' indicates that fewer than 10 girls were given the name.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Namn / Name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Eli,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,-
Eliana,-,-,-,-,-,-,-,-,-,-,11,-,11,12,12,22,17,24,33,34,31,58,56
Elice,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-
Elicia,-,-,-,-,-,-,15,12,20,17,23,24,21,20,28,28,41,43,32,36,33,33,29
Elif,-,16,-,-,-,-,-,-,-,23,12,17,-,13,15,32,36,38,24,18,27,11,20
Elin,1037,1076,999,944,1044,1051,980,869,758,741,623,566,563,498,374,351,313,306,273,244,241,193,187
Elina,103,121,135,127,145,194,171,217,199,182,166,164,160,164,151,161,139,134,146,122,145,143,138
Eline,-,-,-,-,-,-,-,-,-,-,-,-,-,12,-,15,-,12,22,11,18,14,17
Elinor,16,22,19,-,-,15,10,-,15,-,-,-,-,10,-,10,-,12,-,-,-,-,11
Elisa,15,14,14,17,24,20,26,31,35,34,32,35,43,43,60,50,73,67,66,57,44,54,56
Elisabet,-,11,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,-
Elisabeth,39,31,27,17,25,28,24,22,25,25,28,25,26,26,36,32,33,35,24,21,31,40,25
Elise,50,49,46,51,66,57,95,90,97,92,108,153,146,160,212,229,303,315,309,253,268,256,229
Elisia,-,-,-,-,-,-,-,-,-,-,10,10,11,14,19,17,20,17,23,19,25,15,17
Elissa,-,-,-,-,-,-,-,11,-,14,18,-,14,15,20,18,21,18,22,17,19,11,14
Eliza,-,-,-,-,-,-,-,11,11,16,14,13,21,23,21,16,35,29,18,25,12,15,19
Elizabeth,-,-,-,-,10,-,-,-,-,-,-,12,-,20,10,11,12,11,14,15,-,14,11
Elize,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,13,14,13,13,12,-,-,-
Ella,198,195,267,353,572,687,776,801,759,845,773,796,720,693,664,688,552,611,614,579,593,563,550
Elle,-,-,-,-,-,-,-,13,10,13,-,17,21,30,28,26,32,29,34,26,36,38,35
Ellen,379,416,463,433,517,510,549,498,506,523,477,492,544,502,517,498,515,490,498,454,451,422,382
Elli,-,-,-,-,-,-,-,-,14,18,18,18,27,26,32,35,42,46,47,45,41,60,33
Ellie,-,-,-,13,21,35,38,38,50,74,98,132,240,276,305,298,362,353,405,407,414,389,390
Ellinor,144,142,135,103,108,92,65,65,84,56,64,66,71,72,61,74,80,93,69,72,62,56,56
Ellinore,22,-,17,12,-,-,-,-,-,-,-,-,-,-,11,13,15,14,23,14,16,16,11
Ellis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12
Elly,-,-,-,-,10,-,11,16,18,16,30,38,57,34,39,39,58,49,61,61,62,59,39
Elma,20,20,25,35,38,38,40,51,60,64,68,66,83,76,57,61,57,57,79,58,66,60,71
Elmedina,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-
Elna,-,-,-,12,12,19,29,11,19,35,29,28,25,38,34,31,32,53,35,45,45,37,38
Elona,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-
Elora,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-
Elsa,224,210,259,308,427,473,619,602,624,722,772,768,719,716,750,762,841,864,634,529,549,553,635
Else,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,-
Elsie,-,-,-,-,-,-,-,-,-,11,-,18,32,35,56,62,81,93,110,93,119,131,123
Elsy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,10,14,-,15
Elva,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-
Elvina,-,-,-,-,-,-,-,-,14,12,-,17,13,21,-,-,12,-,12,13,18,-,13
Elvira,132,134,164,164,198,238,223,237,256,336,364,349,399,350,325,322,375,291,296,296,279,280,227
Elwira,-,-,-,-,-,13,-,-,12,14,11,14,12,16,20,18,22,20,15,27,33,16,13
Elvy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,12,12
Ema,-,-,-,-,-,-,-,-,-,-,-,10,10,-,10,-,-,11,-,-,13,-,-
Embla,19,18,19,29,52,48,49,51,71,75,67,71,57,50,48,34,39,33,44,39,34,37,34
Emeli,-,-,-,-,-,-,-,10,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-
Emelia,12,-,-,-,13,-,-,-,14,10,11,-,14,-,10,-,-,-,11,-,-,-,-
Emelie,608,602,506,464,438,444,403,343,327,274,262,245,194,171,160,133,136,108,89,71,57,52,48
Emely,-,10,-,-,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Emilia,307,611,601,563,629,626,565,553,630,580,520,542,517,499,471,478,419,360,403,339,300,275,242
Emilie,24,22,17,17,21,24,17,17,19,18,19,14,-,15,14,-,12,15,12,12,-,-,-
Emilija,-,-,-,-,-,-,-,-,-,-,-,11,-,10,-,-,14,-,12,-,-,11,-
Emily,50,35,49,36,30,40,43,43,43,44,47,49,41,46,51,51,60,44,44,53,42,47,58
Emina,14,16,18,14,17,13,19,18,14,29,30,16,15,20,15,19,13,10,12,19,12,19,-
Emma,1467,1394,1186,1115,1220,1375,1260,1103,1014,831,818,787,712,635,619,559,448,381,459,326,275,262,234
Emmelie,22,18,13,12,16,13,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Emmi,-,10,12,10,16,21,20,11,21,22,17,16,19,25,16,18,21,19,-,10,15,-,-
Emmie,43,35,47,49,40,53,74,69,57,62,64,58,68,61,43,34,46,35,33,25,28,32,15
Emmy,128,136,155,127,128,127,143,144,131,124,118,119,116,105,102,99,106,106,99,86,71,70,59
Emmylou,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-
Emy,13,11,-,-,-,15,12,11,17,-,-,-,-,-,11,10,-,-,-,-,-,-,-
Engla,11,16,30,56,75,94,105,147,209,224,169,44,40,51,37,26,16,29,17,20,-,11,-
Enja,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,12,12,-,-,-,-,-
Enna,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,-,-,-
Enya,-,-,-,13,16,21,21,25,28,42,43,63,84,62,50,62,78,85,71,56,63,46,50
Erica,107,96,93,64,53,39,53,29,31,22,20,16,-,-,-,-,-,-,-,-,-,-,-
Erika,127,116,96,70,69,55,47,45,29,25,31,31,21,20,10,24,13,10,16,11,-,-,10
Erina,-,-,-,-,-,-,-,-,-,-,-,-,11,10,12,-,-,-,10,-,-,-,-
Erna,-,-,-,11,-,-,12,-,10,10,-,-,-,-,-,-,-,-,-,-,-,-,-
Erza,-,-,-,-,-,-,-,-,-,19,-,-,-,-,-,-,-,-,-,-,-,-,-
Esila,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-
Esma,-,-,-,-,-,-,-,-,-,-,18,11,-,12,12,16,12,19,27,13,23,14,16
Esmeralda,15,-,15,11,14,19,20,10,22,38,30,36,28,36,31,34,26,22,31,25,28,14,24
Esra,10,10,10,-,-,-,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-
Essie,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,10,10,18,-
Estelle,-,14,12,17,25,20,29,39,39,33,41,38,53,64,55,33,45,43,70,75,73,76,75
Ester,25,31,36,47,63,98,101,142,152,193,198,241,236,223,249,258,241,263,243,237,240,269,282
Esther,13,21,21,25,27,35,32,68,79,84,77,87,102,121,130,141,141,152,157,167,174,215,165
Estrid,-,-,-,-,-,-,10,-,-,12,15,17,18,18,28,32,38,54,48,57,66,62,55
Ethel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,-,12,10,16
Eva,18,16,16,19,15,19,16,14,23,22,28,36,24,26,31,36,37,35,41,76,83,77,81
Evangeline,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-
Evelin,-,10,-,-,-,10,10,-,-,-,12,-,12,-,11,16,-,13,11,11,-,11,10
Evelina,310,315,269,204,251,220,225,211,210,174,192,176,191,151,117,110,106,98,107,78,71,59,52
Eveline,11,10,18,-,-,-,-,-,10,-,-,-,-,-,11,11,-,10,13,13,-,16,13
Evelyn,13,12,-,14,13,16,11,15,11,11,17,23,28,17,30,31,31,45,45,54,37,40,46
Evin,-,-,-,-,-,-,-,-,-,10,-,-,11,-,11,10,13,-,13,13,12,-,13
Evy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,13,23,15,19,21,23
Faiza,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-
Fannie,10,18,-,14,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fanny,392,354,323,278,293,268,216,208,177,165,144,130,116,119,96,83,74,65,61,37,47,32,40
Farah,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,11,-,-,10,-
Fatima,29,32,26,38,39,38,28,43,44,45,45,64,72,57,73,68,55,76,78,87,84,79,60
Fatimah,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-
Fatma,10,11,13,-,-,-,10,13,10,13,10,16,15,15,14,17,20,15,12,11,11,11,-
Felice,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10
Felicia,721,617,661,635,624,600,509,531,518,658,452,431,399,372,342,345,346,271,257,215,211,141,125
Felizia,-,-,11,-,-,-,13,-,15,10,12,12,11,-,-,-,-,-,-,-,-,-,-
Fia,14,11,-,11,14,21,-,-,13,12,-,-,10,-,-,-,-,-,-,-,-,-,-
Fideli,-,-,-,-,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Filippa,246,289,307,292,373,376,424,526,448,427,339,305,252,259,215,196,171,136,145,151,124,144,131
Fiona,-,-,-,-,-,10,12,21,14,14,21,13,16,17,19,27,27,29,35,30,38,25,21
Flora,-,-,-,-,-,-,12,14,25,31,25,32,41,19,41,53,40,46,49,64,52,62,97
Florence,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,14,22,21,28,31,43,41
Frances,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,19,23,18,20,21
Franka,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-,-,12
Fredrica,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fredrika,30,40,29,22,26,24,19,17,22,17,12,12,17,10,19,14,11,15,10,10,-,-,-
Freija,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,10,11,-,10,13,11,-,11
Freja,51,37,49,51,55,89,118,128,254,297,306,271,332,447,418,464,453,463,462,456,438,428,474
Freya,-,-,-,-,-,-,-,-,13,19,32,28,39,34,63,61,66,62,81,82,74,75,87
Freyja,-,-,-,-,-,-,-,-,-,-,-,-,-,11,10,-,-,12,-,14,17,22,17
Frida,609,494,476,389,455,459,423,406,320,293,219,199,163,146,128,101,113,83,63,56,60,36,43
Gabriela,-,-,-,-,-,-,-,13,10,12,-,20,10,16,12,-,12,-,-,10,-,11,-
Gabriella,135,138,115,80,86,102,91,89,87,79,78,85,70,70,64,58,58,40,63,47,75,46,52
Gabrielle,-,-,-,13,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,-,-,-,-
Gelila,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,12,18,16
Gerda,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,10,-,-,10,-
Gina,-,-,11,-,-,-,-,-,-,13,-,-,-,-,-,-,-,-,-,-,-,-,-
Gloria,-,-,-,-,-,15,-,-,-,-,-,-,26,18,17,18,19,-,15,12,13,12,11
Grace,-,-,-,-,-,-,-,-,11,12,10,11,-,12,15,18,10,17,19,14,24,15,25
Greta,20,34,27,39,40,44,72,88,82,77,95,130,158,137,150,174,181,192,143,135,149,104,39
Gry,-,11,12,-,-,16,21,15,17,20,29,31,30,39,55,42,40,41,33,32,27,19,27
Hafsa,-,-,-,-,-,-,-,-,-,-,-,-,11,-,20,12,17,16,23,21,12,19,-
Hailey,-,-,-,-,-,-,-,-,-,13,-,16,19,33,48,70,60,82,107,104,139,163,148
Hailie,-,-,-,-,-,-,-,-,-,-,-,-,-,12,-,-,14,10,14,-,20,17,16
Hala,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,13,14,11,14,-
Haley,-,-,-,-,-,-,-,-,-,11,-,-,18,14,20,14,20,22,12,11,16,-,-
Halima,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,-,10,-,-,-,-,12
Hana,-,11,-,-,10,-,13,17,13,-,25,27,21,22,26,20,20,13,21,21,25,27,15
Hanan,-,11,-,11,-,-,-,-,-,-,-,-,16,11,-,11,11,12,10,12,12,13,-
Hani,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-
Hanin,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Haniya,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-
Hanna,846,856,854,838,778,754,668,659,556,463,408,355,308,259,217,203,174,168,178,168,143,123,136
Hannah,151,173,165,186,197,179,175,138,149,101,104,89,77,65,74,58,55,44,34,30,40,34,31
Harriet,-,-,-,-,-,-,-,-,10,-,14,10,21,23,39,35,24,31,30,32,42,45,36
Havanna,-,-,-,-,-,-,-,15,-,17,16,22,27,21,18,18,11,11,18,16,11,-,-
Havin,-,-,-,-,-,-,-,21,-,11,-,-,-,-,-,12,-,-,11,-,-,-,-
Haya,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,12,-
Hayat,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,-
Hayley,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,10,-
Haylie,-,-,-,-,-,-,-,-,-,-,-,-,-,13,17,16,24,15,37,29,44,18,23
Heaven,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,10,-,-
Hedda,50,38,62,73,115,106,87,127,93,106,135,130,150,136,133,159,139,128,137,153,209,318,328
Hedvig,34,40,44,43,55,54,69,61,57,93,108,109,121,125,127,106,103,140,110,142,142,158,144
Hedwig,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,-,-,-,11,18
Heidi,-,-,-,16,15,14,10,12,13,14,18,14,21,25,18,28,21,28,31,27,26,25,22
Helen,14,11,15,10,10,12,10,-,-,-,-,-,-,11,-,11,10,10,12,10,20,14,16
Helena,48,35,36,25,25,34,23,20,20,23,24,29,28,32,24,28,32,23,29,31,33,36,24
Helga,-,-,-,-,-,-,-,-,-,-,-,11,-,-,10,-,14,16,-,13,10,20,10
Heli,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-
Helia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,12
Helin,12,11,15,27,12,16,17,19,18,22,24,19,26,17,18,24,22,24,12,20,20,-,19
Helmi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,13,16,17,23
Henny,-,-,11,-,-,-,-,-,-,-,13,11,13,-,15,13,15,18,20,23,18,27,29
Henrietta,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hera,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-
Hermine,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,11
Hiba,-,-,-,11,11,-,-,13,10,10,-,11,12,-,11,13,14,-,10,14,-,-,12
Hilda,61,76,86,111,121,114,138,149,189,186,169,160,176,153,159,174,172,132,161,155,130,139,164
Hilde,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,-,16,-,12,-,15,13,14
Hilja,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,12,-,10
Hillevi,14,11,-,-,14,-,17,11,18,24,22,17,29,30,27,32,34,29,31,30,42,35,38
Hilma,18,24,54,44,59,52,67,80,89,95,83,100,114,126,111,146,154,131,155,152,162,169,183
Hjördis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,-,12,-
Hoda,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hollie,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,12,23,30,37,42,35,32,43
Holly,-,-,-,-,-,-,-,-,12,15,27,32,33,51,40,57,64,57,79,55,47,57,46
Hope,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-
Huda,-,-,-,-,-,-,-,-,-,-,-,-,-,15,10,-,12,11,11,-,-,-,12
Hulda,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,11,-,11,-,-,-,-,-
Iben,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,13,15
Ibtisam,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,13,-,-,12,-,-,-
Ida,747,735,810,863,935,973,1012,904,849,763,639,574,575,457,452,367,321,285,249,208,237,194,164
Idde,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-
Idun,-,-,-,-,14,-,13,24,36,31,29,37,63,53,74,92,85,98,117,128,109,118,120
Ikhlas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,-,-
Ilma,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-,11,-,-,11,14,13
Ilona,-,-,-,-,-,-,-,-,-,-,-,-,-,12,10,-,-,-,-,10,-,10,10
Ilse,-,-,-,-,-,-,11,-,-,-,-,-,13,-,-,16,57,63,109,98,128,114,152
Iman,13,16,30,23,19,28,19,12,14,17,22,14,16,20,23,22,16,19,25,18,27,18,17
Ina,19,29,12,20,18,20,26,26,21,27,26,21,20,19,11,-,12,19,12,16,26,20,19
Indra,-,-,-,-,18,45,40,30,31,30,31,21,22,17,14,10,-,-,16,-,-,-,13
Ines,12,-,13,12,15,23,22,39,57,40,74,93,98,143,135,177,194,203,221,231,306,273,346
Inez,13,-,21,21,26,38,47,51,82,102,104,131,150,140,123,119,135,124,156,176,162,160,171
Inga,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-
Ingrid,40,36,39,45,34,68,94,96,112,143,172,151,182,205,205,225,220,183,213,216,242,195,193
Iqra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,-,11,11,-,-,-
Irem,-,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,-,-,-,-,-,-,-
Iris,19,11,12,24,31,36,45,67,87,96,149,156,163,197,187,229,237,280,290,310,340,350,318
Irma,28,33,36,59,70,70,97,90,106,110,122,111,96,76,89,78,76,57,67,60,62,66,70
Isa,42,36,50,41,57,56,74,70,73,72,55,76,68,38,57,64,56,69,57,53,46,35,25
Isabel,42,47,41,51,53,54,72,72,79,67,100,75,94,95,76,112,89,63,65,64,47,41,36
Isabell,97,85,105,81,68,98,96,110,75,98,111,105,128,112,86,104,67,81,66,63,52,54,48
Isabella,199,203,196,212,232,238,219,219,271,310,311,331,390,337,364,316,261,248,261,227,215,210,176
Isabelle,222,209,243,227,254,264,242,283,323,293,331,322,310,351,359,299,323,312,270,249,249,205,174
Isadora,-,-,-,-,-,-,-,-,-,10,-,10,11,15,16,15,15,21,15,11,10,11,14
Isis,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-,-,-,-
Isolde,-,-,-,-,14,-,13,16,14,25,31,36,32,38,23,36,28,34,19,34,19,23,20
Isra,-,-,-,-,-,12,-,-,10,11,10,19,21,14,14,15,25,16,30,39,33,24,24
Israa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,13,-,-
Ivana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10
Ivy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,11,-,12,17,16
Iza,-,-,-,14,13,18,34,30,19,28,19,17,15,14,12,10,15,11,17,-,11,-,-
Izabel,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Izabell,10,12,26,15,13,14,14,14,14,12,12,17,13,12,11,-,16,-,-,-,-,-,-
Izabella,33,46,47,48,41,63,52,65,51,62,74,50,69,44,50,35,40,27,31,22,27,18,15
Izabelle,18,24,37,43,42,43,42,53,39,38,34,28,33,18,32,25,26,16,17,11,-,17,10
Jackie,-,-,-,-,-,-,-,-,-,-,-,-,-,13,10,11,-,11,-,10,11,-,10
Jacqueline,19,25,14,20,17,15,13,11,15,17,10,-,20,13,18,17,16,12,10,11,10,10,-
Jamie,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-
Jamila,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,11,-,-,-,12
Jana,-,-,-,-,-,-,-,-,-,10,-,11,16,11,-,17,13,19,29,35,38,32,32
Janina,18,11,11,11,-,-,-,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Janna,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,10,-,-,-
Jasmin,49,44,39,44,45,50,48,60,56,38,57,47,47,50,46,39,45,48,43,42,40,55,38
Jasmina,12,15,13,-,10,11,-,11,10,11,15,21,15,12,15,12,16,13,12,13,10,19,11
Jasmine,82,81,77,89,77,65,77,82,89,80,85,80,71,72,67,61,70,67,76,63,65,55,53
Jeanette,-,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jenna,10,-,10,15,13,16,17,18,20,14,18,25,31,17,13,20,21,21,10,-,15,18,13
Jennie,66,73,55,49,35,42,24,33,25,11,11,13,14,-,-,-,-,-,-,-,-,-,-
Jennifer,340,358,388,338,294,300,239,180,159,119,102,99,87,85,46,66,54,42,25,30,30,15,23
Jenny,205,159,159,114,93,75,73,68,53,45,35,26,29,22,24,16,16,14,-,-,13,10,-
Jessica,188,181,137,90,87,83,75,56,68,47,50,39,50,36,51,26,28,25,28,21,27,19,23
Jessie,-,-,11,-,-,-,-,13,-,-,10,-,-,-,12,-,-,-,-,13,-,-,12
Jessika,14,18,24,-,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jill,-,10,10,-,-,-,12,13,11,-,-,17,15,-,-,14,12,15,17,23,18,15,19
Joanna,36,28,24,24,22,20,19,20,18,24,-,-,13,12,13,-,-,10,-,12,-,12,-
Johanna,713,640,521,485,467,407,283,253,224,165,136,121,93,82,62,59,56,33,30,32,27,24,30
Jolene,-,-,-,-,-,-,-,-,-,-,-,13,11,19,16,-,15,-,11,21,-,-,-
Jolie,-,-,-,-,-,-,-,-,-,-,-,13,19,18,12,19,21,23,22,22,35,32,29
Jolin,-,-,-,-,-,-,16,11,12,16,14,-,15,11,10,-,-,-,-,-,12,-,-
Jolina,-,-,-,-,-,12,12,15,17,14,10,15,17,-,-,-,11,-,-,-,-,-,-
Joline,-,21,17,17,14,26,45,62,54,62,104,138,141,123,136,134,140,134,144,138,157,115,122
Joni,-,-,-,-,-,-,-,-,-,-,-,11,-,10,22,20,27,28,22,23,12,12,10
Jonna,146,158,152,135,168,154,142,110,112,73,70,68,55,55,40,43,36,30,29,25,16,16,14
Josefin,268,253,231,183,188,167,149,104,93,80,77,84,58,67,53,49,30,35,29,29,29,26,18
Josefina,19,23,20,23,15,22,26,10,10,14,-,15,16,-,15,-,11,-,-,-,-,-,-
Josefine,310,257,277,227,230,211,190,188,115,106,82,79,71,61,50,52,47,56,24,25,21,30,17
Josephine,47,50,63,53,52,45,34,37,26,28,25,21,28,30,41,33,31,32,23,27,20,18,12
Joy,-,-,-,-,-,-,-,-,-,-,-,-,12,-,11,-,-,-,17,15,10,10,-
Judit,-,-,-,-,-,-,-,-,12,20,14,17,17,26,18,26,23,14,30,18,19,22,11
Judith,-,13,11,12,16,16,15,17,21,30,29,37,38,64,38,47,44,44,61,48,51,41,48
Juli,-,-,-,-,-,-,-,-,-,-,-,10,12,16,12,17,18,18,16,27,12,13,14
Julia,1171,1230,1243,1162,998,896,945,914,921,816,817,737,820,717,680,682,606,567,591,511,456,449,424
Julie,-,-,10,13,20,-,20,29,30,39,50,37,56,93,79,89,84,111,125,125,137,128,142
Juliette,-,-,-,-,-,-,-,-,-,-,12,13,10,10,12,14,15,14,17,13,11,19,13
Juni,-,-,-,-,-,14,23,29,54,34,71,69,98,148,179,197,218,217,258,227,234,220,234
Junia,-,-,-,-,-,-,-,-,13,-,-,11,12,14,10,12,17,11,-,-,12,-,-
Junie,-,-,-,-,-,-,-,-,13,11,19,21,32,44,46,56,46,65,60,60,65,79,57
Juno,-,-,-,-,-,-,-,-,-,-,-,22,23,34,39,57,46,39,53,46,72,61,64
Kajsa,193,190,242,233,249,247,184,183,178,135,127,128,97,89,80,69,65,65,59,25,36,52,42
Kamila,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10
Karin,99,126,96,98,68,87,66,63,65,57,49,43,45,42,46,36,38,41,34,36,32,29,39
Karla,-,-,-,10,-,-,-,13,11,10,11,12,-,11,17,14,23,20,13,14,22,14,14
Karolin,11,-,-,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Karolina,81,75,47,54,47,37,33,35,28,25,23,15,18,12,10,10,14,-,12,-,10,-,-
Katarina,34,33,34,21,21,21,22,18,16,22,14,-,11,-,15,-,10,10,-,-,11,-,12
Katja,18,17,13,13,12,19,16,12,11,13,10,18,-,-,-,-,10,-,-,-,-,-,-
Kayla,-,-,-,-,-,-,-,-,-,10,-,-,24,16,11,13,-,-,19,14,-,12,-
Kaylee,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-
Kellie,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,10,13,10,14,-,-,11
Kelly,19,11,14,17,16,17,18,15,21,11,21,16,25,40,37,40,43,41,40,35,41,36,26
Kendra,-,-,-,-,-,-,-,-,-,-,-,11,10,-,11,-,10,-,-,-,-,-,-
Kenza,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,10,14,-,18,17,10,17
Kerstin,13,-,21,20,14,33,15,26,28,39,49,61,59,70,96,83,90,85,101,82,80,81,81
Keyla,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,14,-,10,11,11,14,-,15
