Name,count.female
Aelyn,81
Aelynn,6
Aemilia,59
Aemon,0
Aeneas,0
Aengus,0
Aeon,49
Aeona,7
Aeowyn,17
Aerabella,84
Aeralyn,45
Aeralynn,26
Aerial,1723
Aerian,0
Aeriana,328
Aerianna,296
Aeric,0
Aerica,87
Aerick,0
Aericka,5
Aerie,38
Aeriel,719
Aeriell,31
Aerielle,176
Aeries,10
Aerik,0
Aerika,80
Aerilyn,87
Aerilynn,33
Aerin,630
Aerion,24
Aeriona,38
Aerionna,101
Aeris,811
Aerith,124
Aerius,0
Aero,0
Aeron,60
Aerowyn,11
Aeryal,24
Aeryana,12
Aeryanna,18
Aeryk,0
Aeryn,735
Aeryona,5
Aesa,10
Aesha,595
Aeshia,7
Aeson,0
Aesop,0
Aethan,0
Aetna,5
Aeva,302
Aevah,16
Aevin,0
Aevry,5
Aeyden,0
Aeyla,5
Afaf,22
Afeef,0
Afeni,21
Aferdita,6
Affaan,0
Affan,0
Affie,60
Affinity,5
Afi,52
Afia,355
Afif,0
Afifa,51
Afifah,15
Afina,10
Afiya,224
Afiyah,5
Afnan,286
Afolabi,0
Afomia,38
Afonso,0
Afra,121
Afrah,143
Afraz,0
Afred,0
Afreen,151
Africa,913
Africia,5
Afrika,239
Afrim,0
Afrin,11
Afrodita,16
Afsa,19
Afsana,91
Afsaneh,17
Afshan,41
Afsheen,54
Afshin,0
Aftab,0
Aftan,109
Aften,102
Aftin,61
Afton,4225
Aftyn,144
Afua,194
Afzal,0
Agam,63
Agamjot,0
Agape,41
Agapita,304
Agapito,0
Agassi,0
Agasthya,0
Agastya,0
Agata,266
Agatha,8196
Agathe,11
Agda,52
Agee,0
Agel,0
Agela,6
Ageliki,11
Agena,15
Agent,0
Aggeliki,5
Aggie,1430
Agha,0
Agigail,21
Agila,11
Agim,0
Aginah,6
Aglae,7
Aglaia,6
Agneda,5
Agnella,13
Agnes,156807
Agnesa,5
Agnese,16
Agness,742
Agneta,5
Agnew,0
Agnieszka,215
Agnita,30
Agnus,10
Agostina,17
Agostino,0
Agrima,13
Agripina,183
Agripino,0
Agron,0
Agueda,227
Agusta,251
Agustin,21
Agustina,1450
Agustine,0
Agustus,0
Ah,21
Ahaan,0
Ahaana,17
Ahad,0
Ahadu,0
Ahalya,6
Ahamad,0
Ahamed,0
Ahan,0
Ahana,284
Ahanu,0
Aharon,0
Ahava,147
Ahaziah,0
Ahbleza,0
Ahbree,5
Ahian,0
Ahijah,0
Ahilyn,71
Ahir,0
Ahisha,16
Ahja,100
Ahjah,43
Ahjahnae,5
Ahjanae,136
Ahjanay,17
Ahkeel,0
Ahkeelah,6
Ahkeem,0
Ahkil,0
Ahlaam,17
Ahlai,5
Ahlam,561
Ahlana,125
Ahlani,63
Ahlanna,25
Ahlaya,66
Ahlayah,48
Ahlayla,11
Ahlayna,6
Ahlaysia,5
Ahlea,25
Ahleah,72
Ahleena,16
Ahleeyah,5
Ahleigha,6
Ahlena,5
Ahlexis,24
Ahlexus,13
Ahley,53
Ahlia,119
Ahliana,16
Ahlias,0
Ahlijah,0
Ahlina,25
Ahlivia,58
Ahliya,59
Ahliyah,181
Ahlona,5
Ahlyana,5
Ahlyssa,37
Ahlyvia,5
Ahmaad,0
Ahmad,18
Ahmadou,0
Ahmaj,0
Ahman,0
Ahmand,0
Ahmani,316
Ahmar,0
Ahmara,7
Ahmare,0
Ahmari,262
Ahmaria,33
Ahmarie,5
Ahmarion,0
Ahmarria,5
Ahmaud,0
Ahmauri,0
Ahmaya,140
Ahmed,0
Ahmeer,0
Ahmeir,0
Ahmer,0
Ahmere,0
Ahmet,0
Ahmi,5
Ahmia,72
Ahmiah,5
Ahmid,0
Ahmier,0
Ahmik,0
Ahmina,6
Ahmir,0
Ahmira,50
Ahmiracle,13
Ahmirah,18
Ahmire,0
Ahmiya,117
Ahmiyah,119
Ahmod,0
Ahmon,0
Ahmond,0
Ahmoni,36
Ahmonie,5
Ahmya,415
Ahmyah,53
Ahmyiah,12
Ahmyra,7
Ahna,746
Ahnaf,0
Ahnalee,6
Ahnaleigh,5
Ahnaya,16
Ahnesti,48
Ahnesty,38
Ahni,52
Ahnia,28
Ahniah,12
Ahnika,186
Ahnisty,6
Ahniya,276
Ahniyah,206
Ahniyla,10
Ahnjayla,7
Ahnna,167
Ahnya,132
Ahnyah,50
Ahnyia,5
Ahnyla,36
Ahnylah,5
Ahona,5
Ahonesti,18
Ahonesty,26
Ahreanna,5
Ahren,0
Ahri,12
Ahria,24
Ahriana,145
Ahrianna,136
Ahriel,14
Ahriya,15
Ahriyah,17
Ahron,0
Ahrya,13
Ahsaki,34
Ahsan,0
Ahsen,0
Ahsha,40
Ahshanti,5
Ahsia,12
Ahsir,0
Ahslee,31
Ahsley,1190
Ahti,0
Ahtyana,5
Ahtziri,937
Ahtziry,265
Ahuva,870
Ahva,12
Ahvianna,5
Ahyan,0
Ahyana,74
Ahyanna,53
Ahylin,5
Ahyonna,5
Ahzaria,19
Ahzariah,9
Ahzhane,5
Ahzir,0
Ahziyah,12
Ai,335
Aia,10
Aiah,18
Aian,0
Aiana,126
Aianna,48
Aibhilin,11
Aibhlinn,43
Aicha,582
Aichatou,16
Aicia,47
Aida,11460
Aidah,55
Aidaliz,20
Aidaly,53
Aidalyn,12
Aidan,2510
Aidanjames,0
Aidanjohn,0
Aidann,0
Aidar,0
Aiddan,0
Aidden,0
Aide,1796
Aidean,0
Aided,7
Aidee,647
Aideen,78
Aidel,179
Aidelis,12
Aideliz,114
Aidelyn,11
Aiden,1578
Aidenjames,0
Aidenjoseph,0
Aidenmatthew,0
Aidenmichael,0
Aidenn,0
Aidet,5
Aideth,10
Aideyn,0
Aidia,39
Aidian,0
Aidien,0
Aidin,12
Aidon,0
Aidrian,0
Aidrianna,5
Aidric,0
Aidrik,0
Aidsa,30
Aidy,11
Aidyen,0
Aidyn,605
Aidynn,52
Aiedan,0
Aieden,0
Aiesha,1221
Aieshia,5
Aigne,9
Aigner,242
Aiham,0
Aiiden,0
Aija,338
Aijah,300
Aijahlon,0
Aijalon,95
Aijha,5
Aika,144
Aikeem,0
Aiken,0
Aiko,1187
Aila,1006
Ailah,69
Ailaina,20
Ailan,0
Ailana,76
Ailani,1067
Ailanie,22
Ailanny,6
Ailany,241
Aile,36
Ailea,83
Aileah,40
Ailean,22
Aileana,22
Ailed,191
Ailee,337
Aileen,31820
Aileena,70
Aileene,367
